"dataset_id","survey_type_cd","survey_method_cd","dataset_type_cd","source_dataset_id","survey_width_m","who_created","date_created","share_level","admin_notes","import_notes","usgs_priority","noaa_priority","action_required","action_taken","discrete_time_unit","noaa_import_priority","funded","at_usgs","in_db","start_date","end_date","number_of_records","parent_project","qual_rpt","meta_std","resp_party","comments","sponsors","url_program","planned_speed_knots","area_covered_km2","progress","subject","keywords","title","version","abstract","purpose"
5,"b","cts","ot        ","BarHarborWW05",,,,5,,,,0,,,,,,"1","1",6/16/2005 0:00:00,10/19/2005 0:00:00,4395,"BarHarborWW",,,33,,,,,,"Complete","seabird and marine mammal survey","seabirds, marine mammals, Bar Harbor, whale watch","Bar Harbor Whale Watch Survey 2005",1,"Seabird surveys using standardized techniques were completed aboard the Whale Watching vessel Friendship during transit.","To document seabirds around Mount Desert Island, Maine aboard the Whale Watching vessel Friendship during transit."
6,"b","cts","ot        ","BarHarborWW06",,,,5,,,,0,,,,,,"1","1",6/21/2006 0:00:00,10/15/2006 0:00:00,3875,"BarHarborWW","Very good, but local seabird dataset for the Bar Harbor area of Maine.  These data were made aboard a high speed whale watching boat, but instantaneous records were kept instead of using timed transect counts, allowing better species-habitat associations to be made.",,33,"This is an ongoing? project with a local seabird enthusiast, a whale-watching tour operator, and the USFWS.",,,,,"Complete?","seabird and marine mammal survey","Bar Harbor, whale watch","Bar Harbor Whale Watch Survey 2006",1,"Seabird surveys using standardized techniques were completed aboard the Whale Watching vessel Friendship during transit.",
7,"b","cts","ot        ","CapeHatteras0405",,,,5,,,,0,,,,,,"1","1",4/8/2004 0:00:00,2/2/2005 0:00:00,1259,,"Very limited geographically, but a good recent survey of the Hatteras offshore waters, particularly for the less often surveyed winter period.",,23,"Where Current Collide website: http://www.whoi.edu/science/PO/hatterasfronts/index.html In addition to the sighting data, effort data and environmental data were recorded. This dataset, therefore, should be used with the effort data.",,,,,"Complete","seabird and marine mammal survey","marine mammal, seabird; Cape Hatteras; North Carolina","Summer 2004/ Winter 2005 Cape Hatteras",1,"This dataset contains locational information of marine mammal, sea bird, sea turtle sightings off of Cape Hatteras, North Carolina, in August, 2004.http://www.whoi.edu/science/PO/hatterasfronts/marinemammal.html Our objective is to map the distribution of upper-trophic predators with respect to physical and biological gradients across the NC shelf. A team of observers used standardized population sampling techniques, including line-transect and strip transect methods, to survey the distribution and abundance of marine mammals, birds and turtles. By repeatedly surveying the study area in conjunction with physical and biological measurements from in-situ and remote-sensing platforms, we will quantify how these predators respond to changes in the oceanography of this dynamic region over short time scales (days) and across seasons (summer - winter).","Our objective is to map the distribution of upper-trophic predators with respect to physical and biological gradients across the NC shelf."
8,"a","cts","ot        ","CapeWindAerial",,,,2,,,,0,,,,,,"1","1",4/17/2002 0:00:00,2/27/2004 0:00:00,29142,"CapeWind","Good local coverage for Nantucket Sound during several seasons. High flight paths may degrade ability to detect smaller species, but allows broader coverage in shorter amount of time.",,13,"ALS: original Cape Wind record",,,,,"Complete","seabird survey","Seabird, aerial survey, shipboard survey","Cape Wind - Nantucket Sound Seabird Survey",1,"As part of the environmental review, extensive avian research has been conducted on Nantucket Sound using high resolution avian radar, over-flights, and boat transects.  Based upon a review of existing information and field observations, there is less bird activity over Horseshoe Shoal than in many other areas of Nantucket Sound.  The estimated small number of birds killed by wind turbines is unlikely to cause bird population declines.","Provide data for the EIS for the proposed wind energy project on Horsehoe Shoals in Nantucket Sound."
9,"b","cts","ot        ","CapeWindBoat",,,,2,,,,0,,,,,,"1","1",4/17/2002 0:00:00,2/27/2004 0:00:00,29142,"CapeWind","Good local coverage for Nantucket Sound during several seasons. High flight paths may degrade ability to detect smaller species, but allows broader coverage in shorter amount of time.",,13,"ALS: added a second record for Cape Wind so aerial and boat surveys (which are split out in the database) will join to the metadata.",,,,,"Complete","seabird survey","Seabird, aerial survey, shipboard survey","Cape Wind - Nantucket Sound Seabird Survey",1,"As part of the environmental review, extensive avian research has been conducted on Nantucket Sound using high resolution avian radar, over-flights, and boat transects.  Based upon a review of existing information and field observations, there is less bird activity over Horseshoe Shoal than in many other areas of Nantucket Sound.  The estimated small number of birds killed by wind turbines is unlikely to cause bird population declines.","Provide data for the EIS for the proposed wind energy project on Horsehoe Shoals in Nantucket Sound."
10,"a","cts","ot        ","CDASMidAtlantic",120,,,5,,,,0,,,,,,"1","1",12/19/2001 0:00:00,8/3/2003 0:00:00,8899,,"Data has very good geographic coverage for coastal mid-Atlantic states, though temporally limited.  Data are georeferenced continuous records and are therefore excellent quality.",,15,"Data available summarized in the program CDAS developed for MMS by G. Ford.",,,,,"Complete","seabird survey","seabirds, Mid-Atlantic, Chesapeake Bay, Delaware Bay","Winter Survey of Mid-Atlantic (MMS)",1,"These are data collected on-transect (120m width, 60 m each side) for transects conducted in the mouth of Chesapeake Bay, in Delaware Bay, and in offshore waters from the beach outward. This data may be used to calculate and display densities.

Aerial surveys of waterbirds were flown to at least 12 nautical miles (22.2 km) offshore from northern New Jersey to the Virginia / North Carolina border, including Delaware Bay and the coastal bays between 19 December 2001 and 8 March 2003.  We flew 237 east-west strip transects following each minute of latitude.  Transects were flown along every third line of latitude on any specific day.  This pattern separated each transect by 3 nm (5.6 km), limiting the possibility of chasing birds from one transect path into the next area to be surveyed",
12,"b","dts","ot        ","GeorgiaPelagic",,,,,,,,0,,,,,,"1","1",11/15/1982 0:00:00,6/16/1985 0:00:00,6967,,"These are very good quality data, collected using standard transect survey techniques.  Data are georeferenced and cover a range of dates and area.",,20,"Lat/long sightings in 15 min. periods.  On data sheets that could be enterered.  Funded by DOE, NSF, NOAA, Univ. Georgia, Skidaway Institute of Oceanography, Burleigh Stoddard and Sheldon Funds. 2136 transects, 143 full days, 159 partial days. 2-500 m depth, 0-150 km distance.  Now entered by ATG.",,,,,"Complete","seabird and marine mammal survey","seabirds, marine mammals, South Atlantic Bight, Georgia, Florida, South Carolina,  northwest Atlantic","Haney - South Atlantic Bight and Northwest Atlantic Sargasso Sea",1,"Two studies; One, a study of the pelagic avifauna made off of Georgia, South Carolina and Florida in relationship to biophysical variables. Two, seabird data mostly from deep water in the Northwest Sargasso Sea, including outside EEZ.",
15,"b","cts","ot        ","HatterasEddyCruise2004",,,,5,,,,0,,,,,,"1","1",8/15/2004 0:00:00,8/19/2004 0:00:00,230,,"Very limited geographically, but a good, recent survey of the Hatteras offshore waters.","FGDC",27,"Marine bird and mammal sightings were recorded continuously, while the vessel sailed during daylight hours. The position of the vessel was also recorded every 10 seconds directly from a GPS using the Logger 2000 software, which is publicly available on the internet from the International Fund for Animal Welfare (http://www.ifaw.org).",,,,,"Complete","seabird and marine mammal survey","seabirds; marine mammals; cold-core eddies; Cape Hatteras; Gulf Stream; cetaceans; North Carolina; Atlantic Ocaean","Hatteras Eddy Cruise 2004",1,"The Duke / UNC Oceanographic Consortium supported a four-day exploratory cruise off North Carolina in August 2004, to survey physical and biological properties in the vicinity of the cold-core eddies which form along the inner edge of the Gulf Stream. This cruise was the result of a collaborative proposal assembled by Richard Barber, Andy Read, Larry Crowder, David Johnston, Veronica Lance, and David Hyrenbach.","This cruise surveyed marine bird and mammal distributions in the vicinity on the shelf-slope off North Carolina, in an area influenced by the Gulf Stream and by cold-core eddies."
20,"b","dts","ot        ","NOAAMBO7880",300,,,5,,,,0,,,,,,"1","1",1/1/1978 0:00:00,2/28/1980 0:00:00,33626,,"This is one of the most significant and highest quality dataset for the Northwest Atlantic U.S. waters. While the observations were collected using a different survey method, this still remains and important dataset.","None",15,"Missing last few months of surveys between December 1979 and Feb 1980.","NOAA",,,,"Complete","seabird and marine mammal survey","seabirds, northwest Atlantic, Manomet Bird Observatory,","Manomet Bird Observatory seabird survey",1,"""Bird observations were collected throughout the year in shelf waters off the northeastern United States.  Data were collected on board ships taking part in oceanographic monitoring and assessment surveys made by the National Marine Fisheries Service (NOAA/NMFS), foreign research vessels, and from U. S. Coast Guard (USCG) ships on offshore law enforcement patrols.  [D]ata were collected opportunistically from a variety of ships, and observers did not determine or influence cruise tracks.  Estimates of seabird density (birds/km2) were derived from a strip transect procedure (Powers 1982).  Observations were recorded in 10-min periods when the vessel proceeded on a steady course at a constant speed.  A total of 61 cruises was made from January 1978 through February 1980, during which 6308 transects were recorded and 5830 km2 were sampled in shelf waters from 35 to 44 degrees N latitude.""  (quoted from Powers 1983)",
21,"b","dts","ot        ","CSAP",300,,,5,,,,0,,,,,,"1","1",4/16/1980 0:00:00,10/12/1988 0:00:00,55191,,"This is one of the most significant and highest quality dataset for the Northwest Atlantic U.S. waters.",,31,"The original records at Manomet for this data was lost in a flood (pipe burst) at the Manomet Offices in MA.  Stephanie Schmidt informed us that the paper records were thrown out, but that data reels still exist in the vault.  Copies of paper records are reported by S. Schmidt  to be at NOAA (NEFSC?).",,,,,"Complete","seabird and marine mammal survey","seabirds, marine mammals, Manomet","Cetacean and Seabird Assessment Program (CSAP)",1,"The Cetacean and Seabird Assessment Program (CSAP) has been conducted by the Manomet Bird Observatory, through a contract with the Northeast Fisheries Science Center (NEFSC) of the National Marine Fisheries Service since May 1980.  This long-term monitoring program is designed to provide and assessment of the abundance and distribution of populations of cetaceans, seabirds and marine turtles in the shelf waters of the northeastern United States.","This long-term monitoring program is designed to provide and assessment of the abundance and distribution of populations of cetaceans, seabirds and marine turtles in the shelf waters of the northeastern United States."
