"SurveyNbr","Transect","Replicate","Crew","Seat","Obs","StartDt","EndDt","DistFlown","AvgCondition","ACWSD","ACWSDreport","WindArea","MissingTrackFile","ImputedDistFlown"
1,271600,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,12.49,4.00,1,0,0,0,0
1,272100,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,13.07,4.00,1,0,0,0,0
1,272100,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,13.42,2.00,1,0,0,0,0
1,272600,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,7.91,3.00,1,0,0,0,0
1,272600,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,7.89,4.00,1,0,0,0,0
1,273100,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,8.48,4.00,1,0,0,0,0
1,273100,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,8.62,2.00,1,0,0,0,0
1,273600,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,12.71,3.00,1,0,0,0,0
1,273600,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,12.50,4.00,1,0,0,0,0
1,274100,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,12.87,4.00,1,0,0,0,0
1,274100,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,13.78,1.00,1,0,0,0,0
1,274600,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,8.01,3.00,1,0,0,0,0
1,274600,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,7.93,3.00,1,0,0,0,0
1,275100,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,9.75,4.00,1,0,0,0,0
1,275100,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,9.82,1.00,1,0,0,0,0
1,275600,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,13.25,3.00,1,0,0,0,0
1,275600,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,13.26,3.00,1,0,0,0,0
1,280100,1,"Crew3441","lf","mdk",2/9/2008 0:00:00,2/9/2008 0:00:00,14.03,3.00,1,0,0,0,0
1,280100,1,"Crew3441","rf","tsl",2/9/2008 0:00:00,2/9/2008 0:00:00,14.01,1.00,1,0,0,0,0
1,280600,1,"Crew3441","lf","mdk",2/8/2008 0:00:00,2/8/2008 0:00:00,7.71,1.00,1,0,0,0,0
1,280600,1,"Crew3441","rf","tsl",2/8/2008 0:00:00,2/8/2008 0:00:00,7.61,3.00,1,0,0,0,0
1,281100,1,"Crew3441","lf","mdk",2/8/2008 0:00:00,2/8/2008 0:00:00,7.55,5.00,1,0,0,0,0
