"species_type_cd","spp_cd","common_name","scientific_name","itis_cd"
"1","ABDH","American Black Duck X Mallard Hybrid","Anas rubripes x platy.",
"1","ABDU","American Black Duck","Anas rubripes",175068
"5","ALGA","Algal bloom","--",
"4","ALTU","Albacore Tuna","Thunnus alalunga",172419
"1","AMBI","American Bittern","Botaurus lentiginosus",174856
"1","AMCO","American Coot","Fulica americana",176292
"1","AMCR","American Crow","Corvus brachyrhynchos",179731
"1","AMGO","American Goldfinch","Carduelis tristis",179236
"1","AMGP","American Golden Plover","Pluvialis dominica",176564
"1","AMKE","American Kestrel","Falco sparverius",175622
"1","AMOY","American Oystercatcher","Haematopus palliatus",176472
"1","AMPI","American Pipit","Anthus rubescens",554127
"1","AMRE","American Redstart","Setophaga ruticilla",178979
"1","AMRO","American Robin","Turdus migratorius",179759
"1","AMWI","American Wigeon","Anas americana",175094
"1","AMWO","American Woodcock","Scolopax minor",176580
"1","ANHI","Anhinga anhinga","Anhinga anhinga",174755
"5","ANTE","Antennae","--",
"1","APLO","Arctic Loon/Pacific Loon","Gavia arctica/pacifica",
"1","ARLO","Arctic Loon","Gavia arctica",174471
"1","ARTE","Arctic Tern","Sterna paradisaea",176890
"2","ASDO","Atlantic Spotted Dolphin","Stenella frontalis",552460
"1","ATPU","Atlantic Puffin","Fratercula arctica",177025
"1","ATSP","American Tree Sparrow","Spizella arborea",179432
"1","AUSH","Audubon's Shearwater","Puffinus iherminieri",174561
"1","AWPE","American White Pelican","Pelecanus erythrorhynchos ",174684
"1","BAEA","Bald Eagle","Haliaeetus leucocephalus",175420
"1","BAGO","Barrow's Goldeneye","Bucephala islandica",175144
"5","BAIT","bait ball","--",
"5","BALN","balloon","--",
"1","BANO","Barn Owl","Tyto alba",177851
"1","BANS","Bank Swallow","Riparia riparia",178436
"1","BAOR","Baltimore Oriole","Icterus galbula",179083
"1","BAOW","Barred Owl","Strix varia",177921
"1","BARS","Barn Swallow","Hirundo rustica",178448
"1","BASA","Baird's Sandpiper","Calidris bairdii",176655
"4","BASH","Basking Shark","Cetorhinus maximus",159907
"1","BAWW","Black-and-white Warbler","Mniotilta varia",178844
"1","BBCU","Black-billed Cuckoo","Coccyzus erythropthalmus",177834
"1","BBPL","Black-bellied Plover","Pluvialis squatarola",176567
"1","BBSP","Black-bellied Storm-petrel","Fregetta tropica",174655
"2","BBWH","Blainville's Beaked Whale","	Mesoplodon densirstris",
"1","BBWO","Black-backed Woodpecker","Picoides arcticus",178250
"1","BCCH","Black-capped Chickadee","Poecile atricapillus",554382
"1","BCNH","Black-crowned Night-Heron","Nycticorax nycticorax",174832
"1","BCPE","Black-capped Petrel","Pterodroma hasitata",174567
"5","BDDR","Blue Dasher Dragonfly","Pachydiplax longipennis",101799
"1","BEKI","Belted Kingfisher","Megaceryle alcyon",178106
"1","BEPE","Bermuda Petrel","Pterodroma cahow",174568
"2","BESE","Bearded Seal","Erignathus barbatus",180655
"1","BFAL","Black-footed Albatross","Diomedea nigripes",174516
"4","BFTU","Atlantic Bluefin Tuna","Thunnus thynnus",172421
"1","BGGN","Blue-gray Gnatcatcher","Polioptila caerulea",179853
